lower,upper,alive_alive_result_32_txt_target_alive,alive_alive_result_32_txt_target_not_alive,alive_alive_result_64_txt_target_alive,alive_alive_result_64_txt_target_not_alive,alive_alive_result_128_txt_target_alive,alive_alive_result_128_txt_target_not_alive,not_alive_not_alive_result_32_txt_target_alive,not_alive_not_alive_result_32_txt_target_not_alive,not_alive_not_alive_result_64_txt_target_alive,not_alive_not_alive_result_64_txt_target_not_alive,not_alive_not_alive_result_128_txt_target_alive,not_alive_not_alive_result_128_txt_target_not_alive
2,3,99,1,100,0,89,11,51,49,40,60,37,63
2,4,99,1,100,0,89,11,51,49,40,60,37,63
2,5,99,1,100,0,89,11,51,49,40,60,37,63
2,6,99,1,100,0,89,11,51,49,40,60,37,63
2,7,99,1,100,0,89,11,51,49,40,60,37,63
2,8,99,1,100,0,89,11,51,49,40,60,37,63
3,4,99,1,100,0,89,11,51,49,40,60,37,63
3,5,99,1,100,0,89,11,51,49,40,60,37,63
3,6,99,1,100,0,89,11,51,49,40,60,37,63
3,7,99,1,100,0,89,11,51,49,40,60,37,63
3,8,99,1,100,0,89,11,51,49,40,60,37,63
4,5,99,1,100,0,89,11,51,49,40,60,37,63
4,6,99,1,100,0,89,11,51,49,40,60,37,63
4,7,99,1,100,0,89,11,51,49,40,60,37,63
4,8,99,1,100,0,89,11,51,49,40,60,37,63
5,6,99,1,100,0,89,11,51,49,40,60,37,63
5,7,99,1,100,0,89,11,51,49,40,60,37,63
5,8,99,1,100,0,89,11,51,49,40,60,37,63
6,7,99,1,100,0,89,11,51,49,40,60,37,63
6,8,99,1,100,0,89,11,51,49,40,60,37,63
7,8,99,1,100,0,89,11,51,49,40,60,37,63
